<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,60,20160408,170000,312.9500000,314.8500000,312.3500000,314.4500000,729850
ROSN,60,20160408,180000,314.4500000,314.7000000,312.5000000,314.0000000,437030
ROSN,60,20160408,190000,314.0500000,316.5000000,314.0000000,316.5000000,1022630
ROSN,60,20160411,110000,316.5500000,321.7500000,314.2000000,321.0500000,1518020
ROSN,60,20160411,120000,321.1000000,322.1500000,320.2500000,321.3500000,749420
ROSN,60,20160411,130000,321.4000000,324.6500000,320.5500000,324.3500000,910230
ROSN,60,20160411,140000,324.3500000,327.8500000,323.8500000,327.8000000,1353180
ROSN,60,20160411,150000,327.7000000,329.2000000,325.8000000,326.8000000,916300
ROSN,60,20160411,160000,326.8000000,328.5000000,325.8500000,327.8500000,1016850
ROSN,60,20160411,170000,327.8500000,328.3500000,324.3500000,324.9000000,623450
ROSN,60,20160411,180000,324.9000000,325.6000000,323.2000000,323.4500000,552150
ROSN,60,20160411,190000,323.6500000,325.7500000,323.2500000,325.0000000,360950
ROSN,60,20160412,110000,325.0000000,325.9500000,321.1500000,323.0500000,1167210
ROSN,60,20160412,120000,323.1000000,323.2000000,318.6000000,319.9500000,1634620
ROSN,60,20160412,130000,319.9000000,320.1500000,318.6500000,319.6000000,411030
ROSN,60,20160412,140000,319.4500000,320.1000000,317.6500000,317.9000000,491400
ROSN,60,20160412,150000,317.7000000,318.9000000,317.4500000,318.3000000,322050
ROSN,60,20160412,160000,318.3000000,318.9000000,317.8000000,318.2500000,184990
ROSN,60,20160412,170000,318.1500000,320.1500000,318.0000000,319.4500000,436410
ROSN,60,20160412,180000,319.5000000,321.3000000,319.5000000,320.2000000,658530
ROSN,60,20160412,190000,320.2000000,321.7000000,318.5000000,320.0000000,427130
ROSN,60,20160413,110000,321.1000000,322.9500000,319.1000000,322.6500000,783240
ROSN,60,20160413,120000,322.8500000,323.6000000,320.4500000,321.0500000,541170
ROSN,60,20160413,130000,321.0500000,322.5000000,320.7000000,322.1000000,421860
ROSN,60,20160413,140000,322.1000000,323.3500000,321.4500000,322.8000000,349140
ROSN,60,20160413,150000,322.7500000,323.3000000,322.2500000,322.9000000,213590
ROSN,60,20160413,160000,322.8500000,323.0000000,321.7000000,322.2500000,209040
ROSN,60,20160413,170000,322.3000000,326.9000000,322.1500000,323.6500000,1179280
ROSN,60,20160413,180000,323.8000000,325.9000000,321.7000000,323.9500000,705740
ROSN,60,20160413,190000,323.9500000,325.0000000,322.3000000,322.3000000,378360
ROSN,60,20160414,110000,321.0000000,324.3000000,320.4500000,323.0000000,825060
ROSN,60,20160414,120000,323.0000000,325.0000000,321.3500000,324.7500000,577530
ROSN,60,20160414,130000,324.9500000,325.1500000,320.2000000,320.3500000,583070
ROSN,60,20160414,140000,320.3500000,321.1500000,319.5000000,319.5000000,266840
ROSN,60,20160414,150000,319.5000000,319.6500000,318.0000000,318.2000000,440450
ROSN,60,20160414,160000,318.0000000,319.6000000,317.8500000,318.5000000,367650
ROSN,60,20160414,170000,318.5000000,318.8500000,316.1000000,316.5000000,949440
ROSN,60,20160414,180000,316.5000000,316.5000000,310.1000000,312.2000000,2072130
ROSN,60,20160414,190000,312.2000000,314.8500000,312.1500000,313.6000000,542450
ROSN,60,20160415,110000,313.6500000,313.8000000,308.5500000,309.0000000,991400
ROSN,60,20160415,120000,309.0000000,309.1500000,308.0500000,308.7000000,512010
ROSN,60,20160415,130000,308.7500000,309.0000000,308.3000000,308.7500000,293260
ROSN,60,20160415,140000,308.6500000,310.1500000,308.4000000,308.5500000,910120
ROSN,60,20160415,150000,308.5500000,308.7500000,307.5000000,307.8000000,347130
ROSN,60,20160415,160000,307.8000000,307.9500000,306.6000000,307.0000000,526720
ROSN,60,20160415,170000,307.0000000,308.2000000,306.6000000,307.7000000,241420
ROSN,60,20160415,180000,307.8000000,309.7000000,307.5500000,309.2500000,1035310
ROSN,60,20160415,190000,309.2500000,309.7500000,308.1500000,309.7500000,590720
ROSN,60,20160418,110000,304.0000000,308.0000000,303.6500000,305.8500000,1764900
ROSN,60,20160418,120000,306.0000000,306.9000000,303.1000000,303.3000000,995630
ROSN,60,20160418,130000,303.2000000,303.6500000,302.1000000,303.5000000,1036550
ROSN,60,20160418,140000,303.4500000,303.8000000,302.0000000,302.6500000,483110
ROSN,60,20160418,150000,302.7000000,303.1500000,302.0000000,302.7000000,244970
ROSN,60,20160418,160000,302.8000000,302.9500000,301.2000000,301.5000000,415560
ROSN,60,20160418,170000,301.4000000,301.6000000,300.3500000,301.0000000,611820
ROSN,60,20160418,180000,301.2500000,302.0000000,300.3500000,300.7500000,819610
ROSN,60,20160418,190000,300.7500000,303.9000000,300.4500000,303.9000000,1083650
ROSN,60,20160419,110000,305.5000000,308.7000000,304.7000000,307.6000000,1711700
ROSN,60,20160419,120000,307.7500000,308.7000000,305.9000000,307.9000000,985350
ROSN,60,20160419,130000,307.8000000,310.7000000,307.5000000,310.0000000,1398480
ROSN,60,20160419,140000,310.1000000,311.0000000,309.5000000,309.7000000,360070
ROSN,60,20160419,150000,309.7500000,310.9000000,309.3500000,309.9500000,209700
ROSN,60,20160419,160000,310.1000000,314.6000000,309.7500000,310.9000000,1915070
ROSN,60,20160419,170000,310.9000000,311.0500000,307.1500000,309.5500000,1089020
ROSN,60,20160419,180000,309.7000000,312.5000000,309.2000000,311.1500000,1270240
ROSN,60,20160419,190000,311.3000000,312.0000000,309.1500000,311.7500000,290760
ROSN,60,20160420,110000,309.8500000,318.6000000,306.4000000,318.6000000,2624370
ROSN,60,20160420,120000,318.5000000,319.1500000,314.7500000,316.9500000,1658470
ROSN,60,20160420,130000,316.9500000,318.3000000,315.7000000,317.2500000,535390
ROSN,60,20160420,140000,317.2500000,319.3500000,316.7500000,319.0000000,678470
ROSN,60,20160420,150000,319.1500000,320.6500000,317.5000000,320.4500000,735600
ROSN,60,20160420,160000,320.4500000,322.3000000,320.3000000,322.2500000,1296270
ROSN,60,20160420,170000,322.2500000,322.8500000,321.2000000,322.8000000,731960
ROSN,60,20160420,180000,322.8500000,323.5500000,320.5000000,321.6000000,1274950
ROSN,60,20160420,190000,321.8000000,322.0500000,320.4000000,322.0500000,815670
ROSN,60,20160421,110000,324.4000000,325.3000000,321.1500000,322.1500000,1421040
ROSN,60,20160421,120000,322.1000000,323.5000000,320.6000000,321.1000000,589250
ROSN,60,20160421,130000,321.2000000,322.9500000,320.6500000,321.4000000,892920
ROSN,60,20160421,140000,321.4500000,321.8000000,317.7500000,317.8000000,815320
ROSN,60,20160421,150000,317.8500000,321.5500000,317.7500000,321.0500000,979440
ROSN,60,20160421,160000,321.0500000,323.7500000,320.5500000,322.9000000,649450
ROSN,60,20160421,170000,322.9000000,323.2500000,318.7500000,319.9500000,783500
ROSN,60,20160421,180000,319.8500000,324.0000000,319.8500000,323.1500000,1009550
ROSN,60,20160421,190000,323.1500000,324.0000000,322.0500000,323.0000000,466320
ROSN,60,20160422,110000,323.0000000,323.9500000,320.8000000,322.6000000,718900
ROSN,60,20160422,120000,322.6000000,323.6500000,321.2500000,321.4000000,275800
ROSN,60,20160422,130000,321.4000000,321.9000000,319.3500000,320.0500000,531490
ROSN,60,20160422,140000,320.0500000,322.8500000,319.8000000,322.6000000,338390
ROSN,60,20160422,150000,322.6000000,324.8500000,322.0500000,322.3000000,582530
ROSN,60,20160422,160000,322.3500000,324.4500000,321.7000000,324.3500000,349580
ROSN,60,20160422,170000,324.3500000,324.4000000,321.0500000,322.2000000,507760
ROSN,60,20160422,180000,322.2000000,323.0000000,321.2000000,321.9000000,337990
ROSN,60,20160422,190000,321.9500000,322.5500000,321.4000000,322.1000000,404290
