<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RBCM,60,20160414,110000,5.7400000,5.7750000,5.7400000,5.7700000,10000
RBCM,60,20160414,120000,5.7700000,5.7750000,5.7700000,5.7700000,4900
RBCM,60,20160414,130000,5.7700000,5.7700000,5.7550000,5.7550000,500
RBCM,60,20160414,140000,5.7650000,5.7700000,5.7550000,5.7550000,1900
RBCM,60,20160414,150000,5.7600000,5.7800000,5.7000000,5.7500000,59100
RBCM,60,20160414,160000,5.7300000,5.7300000,5.5950000,5.6300000,159200
RBCM,60,20160414,170000,5.6350000,5.6400000,5.5100000,5.6000000,167000
RBCM,60,20160414,180000,5.5600000,5.5850000,5.4600000,5.5600000,201300
RBCM,60,20160414,190000,5.5400000,5.5850000,5.5300000,5.5800000,31500
RBCM,60,20160415,110000,5.5650000,5.8300000,5.5450000,5.6900000,245200
RBCM,60,20160415,120000,5.7100000,5.8500000,5.6600000,5.7900000,98800
RBCM,60,20160415,130000,5.7900000,5.8550000,5.7500000,5.7500000,132900
RBCM,60,20160415,140000,5.7550000,5.7550000,5.6950000,5.6950000,19100
RBCM,60,20160415,150000,5.6950000,5.8000000,5.6900000,5.7500000,39400
RBCM,60,20160415,160000,5.7450000,5.7900000,5.6800000,5.6850000,15400
RBCM,60,20160415,170000,5.7000000,5.7000000,5.6750000,5.6950000,17100
RBCM,60,20160415,180000,5.6850000,5.7050000,5.6550000,5.7000000,13500
RBCM,60,20160415,190000,5.7000000,5.7300000,5.6650000,5.7300000,8700
RBCM,60,20160418,110000,5.6750000,5.7000000,5.5650000,5.6450000,81400
RBCM,60,20160418,120000,5.6600000,5.6650000,5.6500000,5.6650000,12400
RBCM,60,20160418,130000,5.6700000,5.6700000,5.5500000,5.6000000,82600
RBCM,60,20160418,140000,5.6150000,5.6200000,5.5500000,5.5550000,25200
RBCM,60,20160418,150000,5.5800000,5.5950000,5.5800000,5.5900000,4400
RBCM,60,20160418,160000,5.5900000,5.5900000,5.5600000,5.5850000,4000
RBCM,60,20160418,170000,5.5850000,5.5850000,5.5550000,5.5550000,9700
RBCM,60,20160418,180000,5.5850000,5.6050000,5.5400000,5.5450000,58700
RBCM,60,20160418,190000,5.5500000,5.7250000,5.5450000,5.7250000,112700
RBCM,60,20160419,110000,5.7250000,5.7600000,5.6500000,5.7000000,55600
RBCM,60,20160419,120000,5.6950000,5.7000000,5.6850000,5.7000000,7300
RBCM,60,20160419,130000,5.7000000,5.7000000,5.6700000,5.6700000,2200
RBCM,60,20160419,140000,5.6850000,5.6850000,5.6300000,5.6300000,14800
RBCM,60,20160419,150000,5.6700000,5.6700000,5.6700000,5.6700000,100
RBCM,60,20160419,160000,5.6650000,5.7050000,5.6650000,5.7050000,13200
RBCM,60,20160419,170000,5.6950000,5.6950000,5.6300000,5.6300000,15800
RBCM,60,20160419,180000,5.6600000,5.6700000,5.6400000,5.6400000,2500
RBCM,60,20160419,190000,5.6650000,5.6850000,5.6500000,5.6500000,15900
RBCM,60,20160420,110000,5.6800000,5.6800000,5.6300000,5.6350000,13000
RBCM,60,20160420,120000,5.6350000,5.6450000,5.5100000,5.5800000,78300
RBCM,60,20160420,130000,5.5900000,5.6100000,5.5850000,5.5850000,7800
RBCM,60,20160420,140000,5.5800000,5.6100000,5.5750000,5.6100000,17400
RBCM,60,20160420,150000,5.6100000,5.6100000,5.5900000,5.6100000,800
RBCM,60,20160420,160000,5.6100000,5.6150000,5.5850000,5.5850000,4600
RBCM,60,20160420,170000,5.6050000,5.6250000,5.6000000,5.6000000,20400
RBCM,60,20160420,180000,5.6000000,5.6000000,5.4950000,5.5650000,271300
RBCM,60,20160420,190000,5.5700000,5.6000000,5.5400000,5.5950000,37600
RBCM,60,20160421,110000,5.5450000,5.5950000,5.5200000,5.5750000,19300
RBCM,60,20160421,120000,5.5800000,5.6900000,5.5800000,5.6100000,64100
RBCM,60,20160421,130000,5.6100000,5.6150000,5.5900000,5.6150000,10400
