<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EUR_RUB__TOM,60,20160413,140000,73.9200000,73.9860000,73.7770000,73.9300000,33186000
EUR_RUB__TOM,60,20160413,150000,73.9500000,74.4540000,73.9490000,74.2760000,35360000
EUR_RUB__TOM,60,20160413,160000,74.3110000,74.5990000,74.2010000,74.4090000,26976000
EUR_RUB__TOM,60,20160413,170000,74.3820000,74.3870000,74.1230000,74.1230000,30436000
EUR_RUB__TOM,60,20160413,180000,74.1290000,74.4360000,73.9820000,74.0600000,51828000
EUR_RUB__TOM,60,20160413,190000,74.0760000,74.4990000,73.9000000,74.4290000,23153000
EUR_RUB__TOM,60,20160413,200000,74.4670000,74.8240000,74.4230000,74.7000000,8343000
EUR_RUB__TOM,60,20160413,210000,74.7000000,74.7890000,74.5180000,74.5180000,1135000
EUR_RUB__TOM,60,20160413,220000,74.5210000,74.7340000,74.4970000,74.7340000,834000
EUR_RUB__TOM,60,20160413,230000,74.7200000,74.9000000,74.7200000,74.8500000,3005000
EUR_RUB__TOM,60,20160414,000000,74.8440000,74.8470000,74.6380000,74.7740000,2693000
EUR_RUB__TOM,60,20160414,110000,74.7880000,74.9250000,74.6780000,74.7810000,36071000
EUR_RUB__TOM,60,20160414,120000,74.7700000,74.8340000,74.5740000,74.6600000,24237000
EUR_RUB__TOM,60,20160414,130000,74.6600000,74.7690000,74.5600000,74.5830000,55153000
EUR_RUB__TOM,60,20160414,140000,74.5830000,74.6000000,74.4300000,74.5040000,23362000
EUR_RUB__TOM,60,20160414,150000,74.5250000,74.5890000,74.3500000,74.4500000,24139000
EUR_RUB__TOM,60,20160414,160000,74.4380000,74.5670000,74.1390000,74.4770000,41099000
EUR_RUB__TOM,60,20160414,170000,74.4650000,74.8740000,74.4600000,74.7980000,36194000
EUR_RUB__TOM,60,20160414,180000,74.7770000,74.7940000,74.3150000,74.3150000,34387000
EUR_RUB__TOM,60,20160414,190000,74.3200000,74.3870000,74.2000000,74.3000000,14205000
EUR_RUB__TOM,60,20160414,200000,74.2800000,74.4380000,74.2800000,74.3250000,1500000
EUR_RUB__TOM,60,20160414,210000,74.3000000,74.3980000,74.2600000,74.3770000,1727000
EUR_RUB__TOM,60,20160414,220000,74.3420000,74.6500000,74.3000000,74.6340000,4158000
EUR_RUB__TOM,60,20160414,230000,74.6500000,74.6970000,74.4500000,74.4500000,2108000
EUR_RUB__TOM,60,20160415,000000,74.4400000,74.4920000,74.3900000,74.4890000,547000
EUR_RUB__TOM,60,20160415,110000,74.6110000,74.6110000,74.1270000,74.2050000,59700000
EUR_RUB__TOM,60,20160415,120000,74.2230000,74.5700000,74.2110000,74.3900000,20961000
EUR_RUB__TOM,60,20160415,130000,74.3970000,74.4730000,74.2800000,74.3370000,13400000
EUR_RUB__TOM,60,20160415,140000,74.3250000,74.9700000,74.3250000,74.8100000,37574000
EUR_RUB__TOM,60,20160415,150000,74.8100000,75.0000000,74.7760000,74.9630000,26415000
